20200618_C_N1N_CD45_CGDA7928_34_S34	20200618_C_N1R_CD45_CGDA7928_33_S33	20200618_C_N2N_CD45_CGDA7928_36_S36	20200618_C_N2R_CD45_CGDA7928_35_S35	20200618_C_P2N_CD45_CGDA7928_40_S38	20200618_C_P2R_CD45_CGDA7928_39_S37	20200618_D_N1N_CD45_CGDA7928_42_S40	20200618_D_N1R_CD45_CGDA7928_41_S39	20200618_D_N2R_CD45_CGDA7928_43_S41	20200618_D_P1N_CD45_CGDA7928_46_S44	20200618_D_P1R_CD45_CGDA7928_45_S43	20200618_D_P2N_CD45_CGDA7928_48_S46	20200618_D_P2R_CD45_CGDA7928_47_S45
BCL2A1	9153.61708336424	11219.7079812589	28917.4546835561	17443.9152944103	12549.2262836631	13098.4320871169	17025.750230635	25806.7492809322	15863.6846720068	13605.7571854282	15581.9313463972	9686.69923405783	21033.0837953299
BEND5	194.841559073976	607.531144565886	61.0302804808601	175.34355655158	44.4535114547045	460.029891248966	29.3284473069576	798.211680145736	193.220676573051	329.158172005789	289.616976918305	369.62676676537	19.1987322005335
BFSP1	61.0109932453863	22.7824179212207	58.8506276065436	66.4459793248092	33.3401335910284	42.7241583665346	15.2507925996179	0	0	0.829113783389897	35.8658794945269	11.357247023517	28.7980983008002
BIRC3	14865.0332897549	18464.5168802071	11048.66041991	15246.5836725718	12016.895483993	13209.7136158855	10459.6974475533	16702.736535333	14024.0813641731	17029.1679970451	15871.5483233155	13409.8113037671	10455.4550224814
BLK	984.048278151392	2726.29601123941	321.498798961674	1044.67845271783	545.666853106498	1482.42893681092	563.106188293586	886.203518901959	1279.53047113122	1721.24021431743	1839.02297108187	1992.68061412616	673.700966309628
BPI	0	4.42991459579292	0	0	1.11133778636761	5.96151046974902	0	0	0	0	0	3.09743100641372	0
BST1	472.343173512668	848.645067565472	950.328653201964	1028.98981871059	569.004946620218	689.548044334303	341.383126652986	909.772761425948	443.428096467186	902.904910111598	676.968475459195	595.739230233572	541.927849842331
C3AR1	45.266220794964	37.9706965353679	733.453192207479	514.956339767272	400.08160309234	109.294358612065	525.56577574068	15.7128283493255	240.412823385824	77.1075818552605	63.6619361027852	45.4289880940678	152.717187958789
C5AR1	472.343173512668	573.357517684055	8623.79659723296	6564.30904079678	7320.38199880346	2362.74531617719	6466.33606223801	3521.24483308385	1868.09667949429	897.101113627869	1085.8395016968	703.116838455914	4474.17727236977
C5AR2	321.783786955505	110.747864894823	188.539973628371	147.657731832909	145.585250014157	89.4226570462352	204.125993256425	163.413414832985	139.795604709535	57.2088510539029	108.494285470944	84.6631141753083	147.481170085916
CA8	261.75684198827	57.5888897453079	45.772710360645	12.9200515353796	24.4494313000875	110.287943690357	35.1941367683491	141.41545514393	78.3567720664907	50.5759407867837	131.807107142386	84.6631141753083	30.5434375917578
CAMP	11.8085793378167	12.6568988451226	135.138478207619	29.5315463665819	24.4494313000875	9.93585078291503	0	0	1.78083572878388	9.12025161728887	8.06982288626855	7.22733901496534	26.1800893643638
CCL12	39.3619311260557	65.1830290523815	192.899279377004	215.026571981674	45.5648492410721	79.4868062633202	24.6358957378444	282.830910287859	30.274207389326	8.29113783389897	54.6954662291535	52.6563271090332	77.6675984476126
CCL17	1028.3304506682	1554.90002312331	1293.6239809068	1269.85649376302	3172.86938007953	2226.62416045126	774.27100890368	8786.61361294283	2506.52628826331	2263.48062865442	2464.88256826136	2366.43728890008	2473.1457752869
CCL19	154.495579669768	30.3765572282943	1.08982643715822	22.1486597749364	0	49.6792539145751	0	78.5641417466276	38.2879681688534	33.1645513355959	43.9357023807954	79.5007291646187	0
CCL22	401.491697485768	634.7434770829	1554.09249938761	1589.16633885169	3260.66506520257	2613.12875590665	1813.67118146226	949.054832299261	2181.52376776025	1614.28453626013	2440.67309960255	2600.80956838538	2070.84506872118
CCL3	5793.09221347724	9916.04740021132	18619.6846788481	17476.2154232488	6122.35986509918	8468.32562227848	10020.9438758413	27283.7551457688	10709.9460729063	9832.46035722079	8950.33022785918	6696.64583586646	10266.0857094125
