20200618_C_N1N_CD45_CGDA7928_34_S34	20200618_C_N1R_CD45_CGDA7928_33_S33	20200618_C_N2N_CD45_CGDA7928_36_S36	20200618_C_N2R_CD45_CGDA7928_35_S35	20200618_C_P2N_CD45_CGDA7928_40_S38	20200618_C_P2R_CD45_CGDA7928_39_S37	20200618_D_N1N_CD45_CGDA7928_42_S40	20200618_D_N1R_CD45_CGDA7928_41_S39	20200618_D_N2R_CD45_CGDA7928_43_S41	20200618_D_P1N_CD45_CGDA7928_46_S44	20200618_D_P1R_CD45_CGDA7928_45_S43	20200618_D_P2N_CD45_CGDA7928_48_S46	20200618_D_P2R_CD45_CGDA7928_47_S45
ABCC1	187.953221126916	465.141032558256	198.348411562795	401.444458420722	310.063242396564	1203.23152981101	529.085189417515	249.833970754276	295.618730978124	453.525239514274	650.965712825663	323.165301669164	858.706931151133
ABCC10	151.543434835314	210.737365771292	207.067023060061	91.3632215716127	178.925383605186	283.171747313078	312.054679346029	0	318.769595452314	253.708817717309	261.820920310046	149.709165309996	198.096009523686
ABCC2	0	5.06275953804905	8.71861149726572	0	8.8907022909409	3.97434031316601	10.5582410305047	58.1374648925044	1.78083572878388	0	3.58658794945269	1.03247700213791	18.3260625550547
ABCC3	179.096786623553	164.539684986594	892.567852032578	371.912912054141	653.466618384156	240.447588946544	801.253180426081	179.126243182311	190.549422979875	156.702505060691	218.781864916614	234.372279485305	416.263420893384
ABCC4	115.133648543713	115.177779490616	323.67845183599	206.720824566073	486.765950429014	184.80682456222	274.514266793123	1.57128283493255	120.206411692912	122.708839941705	148.843399902287	93.9554071945494	125.664428948946
ABCC5	639.631380798405	737.264357728393	553.631830076373	468.813298569487	661.245982888729	1058.16810838045	1017.11055260529	331.540678170768	905.554968086603	955.968192248552	1015.00438969511	803.267107663291	904.08575271603
ABCC8	15.7447724504223	20.8838830944523	0	24.9172422468035	45.5648492410721	38.7498180533686	1.1731378922783	6.28513133973021	0	40.626575386105	69.9384650143274	267.411543553718	54.1055180196852
ABCC9	329.656173180716	56.3231998607957	52.3116689835943	26.7629638947148	47.7875248138073	74.5188808718627	21.1164820610095	3.1425656698651	90.8226221679779	97.006312656618	44.8323493681586	94.9878841966873	57.5961966016004
ABCD1	97.4207795369878	322.750920550627	501.320161092779	721.677164333345	594.565715706673	315.960054896698	454.004364311703	216.837031220692	564.52492602449	257.025272850868	349.692325071637	325.23025567344	950.337243926406
ABCD2	0	3.16422471128066	47.9523632349615	28.6086855426262	21.1154179409846	0.993585078291503	8.21196524594812	10.9989798445279	0.89041786439194	16.5822756677979	17.0362927599003	9.29229301924115	14.8353839731395
ABCD3	264.708986822724	147.452871545679	203.797543748586	143.966288537087	105.577089704923	156.986442370057	96.1973071668209	342.539658015296	125.548918879264	175.772122078658	157.809869775918	144.546780299307	102.975018166498
ABCD4	190.90536596137	195.549087157144	170.012924196682	91.3632215716127	152.253276732363	177.851729014179	153.681063888458	7.85641417466276	78.3567720664907	241.27211096646	191.882455295719	246.762003510959	65.4502234109095
ABCE1	3476.64256670887	2892.10138611052	1842.89650523454	1608.54641615476	1768.13841811087	2672.74386060414	2267.67554577396	1205.17393439327	2151.24956037093	4115.72082074745	3066.53269678205	3388.58952101661	1674.6530496738
ABCF1	3002.3312966399	3098.40883728602	2550.19386295022	2664.29919876006	3357.35145261656	3435.81720073202	2715.81422062427	2652.32542536615	3483.31468550127	3898.4930094993	3516.64948443836	3139.76256350137	3343.19741182926
ABCF2	3162.73116597857	2441.51578722415	1532.29597064445	1765.43275622722	1476.96791808256	1817.26710819516	1774.95763101707	1935.8204526369	2175.29084270951	2583.51854904292	2126.84665402544	1803.73732273492	1431.17821858522
ABCF3	2564.42981286253	3223.71213585273	1608.58382124553	1987.84221480054	1989.29463759803	2179.92566177156	2347.44892244888	3406.54118613377	1975.83724108571	2945.84127238431	2710.56384279887	2582.2249823469	2180.8014440515
ABCG1	4195.98185803753	8009.91843413585	3786.05704268764	5975.52383511305	7262.59243391235	10956.2626583204	4340.61020142972	2279.93139348713	7134.02792950822	5801.30914237911	8353.16333427531	9255.12384716419	5161.84095300706
ABCG2	129.894372715984	95.5595862806758	111.162296590138	100.59182981117	115.579129782232	65.5766151672392	118.486927120109	446.244325120845	79.2471899308826	81.2531507722099	56.4887602038798	130.092102269376	66.3228930563883
ABCG3	66.9152829142946	143.655801892142	75.1980241639169	54.4487886133853	58.9009026774835	83.4611465764862	99.7167208436558	47.1384850479766	77.4663542020988	187.379715046117	117.460755344576	161.066412333513	82.9036163204854
