20200618_A4-10_CD45_CGDA7928_106_S84	20200618_A4-14_CD45_CGDA7928_99_S77	20200618_A4-15pt1_CD45_CGDA7928_100_S78	20200618_A4-15pt2_CD45_CGDA7928_101_S79	20200618_A4-15pt3_CD45_CGDA7928_102_S80	20200618_A4-15pt4_CD45_CGDA7928_103_S81	20200618_A4-16_CD45_CGDA7928_104_S82	20200618_A4-18_CD45_CGDA7928_94_S72	20200618_A4-1_CD45_CGDA7928_89_S67	20200618_A4-20_CD45_CGDA7928_107_S85	20200618_A4-24_CD45_CGDA7928_105_S83	20200618_A4-27_CD45_CGDA7928_91_S69	20200618_A4-28_CD45_CGDA7928_95_S73	20200618_A4-37_CD45_CGDA7928_92_S70	20200618_A4-38_CD45_CGDA7928_96_S74	20200618_A4-3_CD45_CGDA7928_90_S68	20200618_A4-40_CD45_CGDA7928_108_S86	20200618_A4-4_CD45_CGDA7928_97_S75	20200618_A4-8_CD45_CGDA7928_93_S71	20200618_A4-9_CD45_CGDA7928_98_S76
ALOX5	21.3437542814348	179.188283107855	128.195240497237	85.7976342595508	39.435074150178	3.45121520317725	3.96325580193146	39.6492537739466	18.6594359327173	16.1740384167478	50.8939215848357	31.8847498668188	6.47441791541347	9.83365050363549	58.8643777583516	18.9376387691955	31.1520639699184	66.940434725732	31.0917278244263	1.03104086030146
AMPD1	8.98684390797257	0	0	1.86516596216415	0	1.72560760158863	3.96325580193146	7.50121017344935	1.96415115081235	8.62615382226548	0	3.67900960001756	9.71162687312021	10.7276187312387	7.49182989651747	0	5.19201066165307	0	2.74338774921409	5.15520430150732
ANGPT4	0	7.34378209458422	33.8383375931793	37.303319243283	10.6581281486968	11.2164494103261	9.51181392463551	2.14320290669981	27.4981161113728	7.54788459448229	12.7234803962089	15.9423749334094	0	11.6215869588419	4.28104565515284	10.0258087601623	0	15.8543134876734	20.11817682757	9.27936774271317
ANKRD55	0	5.87502567566738	0	5.59549788649244	3.19743844460903	3.45121520317725	0.792651160386292	0	0	1.07826922778318	0.748440023306408	0	4.31627861027565	0.893968227603227	0	0	1.03840213233061	0	1.82892516614272	2.06208172060293
APOL9A	20.2203987929383	14.6875641891684	21.4743296264407	22.3819915459698	29.8427588163509	29.3353292270066	13.475069726567	9.64441308014917	2.94622672621852	22.6436537834469	83.0768425870112	9.81069226671349	45.3209254078943	30.3949197385097	16.0539212068232	7.79785125790402	53.996910881192	0.880795193759632	33.8351155736404	6.18624516180878
AQP9	4.49342195398628	117.500513513348	35.7905493774012	29.8426553946264	11.7239409635664	6.03962660556019	11.0971162454081	16.0740218002486	27.4981161113728	20.4871153278805	68.1080421208831	36.7900960001756	5.39534826284456	3.57587291041291	9.63235272409389	8.91183000903317	17.6528362496204	35.2318077503853	12.8024761629991	9.27936774271317
ARHGAP22	210.067476348859	158.625693243019	644.229888793221	702.234984754802	483.879017950833	324.414229098662	542.173393704224	223.964703750131	231.769835795857	156.349038028562	856.963826685837	645.053016536412	65.8232488067036	131.413329457674	224.754896895524	171.552727673889	112.147430291706	307.397522622111	349.32470673326	157.749251626124
ARRB1	57.2911299133251	120.438026351181	222.552143401295	281.640060286786	133.22660185871	113.027297904055	96.7034415671276	92.157724988092	139.454731707677	69.0092305781238	181.870925663457	225.64592213441	43.1627861027565	113.53396490561	111.307187033974	81.3204488324277	99.686604703739	230.768340765023	141.741700376061	147.438843023109
ASGR1	1.12335548849657	1.46875641891684	0.650737261407294	0	0	3.45121520317725	3.17060464154517	0	0	0	5.98752018645126	0	0	0	0	1.11397875112915	0	0	0	0
ASGR2	115.705615315147	76.3753337836759	173.746848795747	246.201907005668	102.318030227489	50.0426204460701	84.8136741613333	100.730536614891	37.3188718654346	75.4788459448229	456.548414216909	208.477210667662	123.013940392856	75.0933311186711	93.1127429995743	44.5591500451659	93.4561919097553	133.000074257704	199.352843109557	48.4589204341688
BACH2	3772.22773037148	931.191569593279	1627.49389077964	1705.69427239911	2877.69460014813	3628.08998234009	2393.8065043666	4550.01977092371	3501.09942632301	5162.75306262589	1387.60780321008	1859.12618454221	6014.73424341912	2528.14214766193	5170.43289001084	4126.17729418236	5124.51452305158	2507.62391663367	2514.77210344625	3427.17981964206
BANK1	5205.62933369311	484.689618242559	109.974597177833	105.381876862274	2828.66721066412	3257.94715179933	2478.62017852794	2837.60064847055	2465.9917698449	3618.67152844037	56.1330017479806	1673.94936800799	1627.23703607392	1180.03806043626	3874.34631791332	3736.28473128716	3951.12011351799	1307.10006753929	2819.28814360901	3570.49449922397
BCL11B	1394.08416122424	1208.78653276856	1998.4141297818	2344.51361444033	1710.62956786583	2863.64581483632	2382.70938812119	1476.66680271617	2408.04931089594	1293.92307333982	3570.05891117156	2632.94453707923	1070.43709534836	2127.64438169568	1297.15683351131	2474.14680625783	2313.55995083261	3088.94874451503	2176.42094770984	3084.87425402198
BCL2A1	5257.30368616395	21915.3145266582	16736.9623633956	13911.3403288013	11388.2099268825	6799.75675405998	10605.6725259686	2852.60306881745	7173.08000276669	3570.14941319012	21980.9350444859	12256.0073141918	3217.7857039605	4109.57194229203	4643.86427442704	4102.78374040865	2709.19116325057	8712.82605667028	7242.54365792519	4839.70579825507
BEND5	360.597111807399	136.594346959267	7.15810987548023	18.6516596216415	177.990740083236	248.487494628762	290.902975861769	285.045986591075	89.3688773619618	310.541537601557	19.4594406059666	183.950480000878	141.358124486527	152.868566920152	267.565353447053	255.101134008575	398.746418814956	59.0132779818953	288.055713667479	227.860030126623
BFSP1	6.74013293097942	10.2812949324179	0	0	0	0	0	0	3.92830230162469	6.46961536669911	17.9625605593538	0	0	3.57587291041291	0	4.45591500451659	4.15360852932246	32.5894221691064	10.9735509968563	0
